world_rank,word_rank_2,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year,continent
35,35,McGill University,Canada,69,85.9,74.9,69,-,71.7,"31,326",13.7,23%,56:44:00,2011,North America
36,36,University of Melbourne,Australia,58.7,88,69.2,83.3,47.7,71,"40,128",23.7,35%,55:45:00,2011,Oceania
37,37,Peking University,China,76.4,68.6,61.3,72.2,98.6,70.7,"40,148",8.3,14%,,2011,Asia
38,38,Washington University in St Louis,United States of America,58.9,56.4,63,88.6,-,69.9,"12,528",5.7,17%,,2011,North America
39,39,Ã‰cole Polytechnique,France,57.9,77.9,56.1,91.4,-,69.5,"2,429",4.8,30%,0.806944444,2011,Europe
40,40,University of Edinburgh,United Kingdom,59.9,67.3,61.9,86.8,42.2,69.2,"25,774",14.1,36%,58:42:00,2011,Europe
41,41,Hong Kong University of Science and Technology,Hong Kong,50.4,97.4,51.8,98.2,64.1,69,"11,385",23.8,36%,,2011,Asia
42,42,Ã‰cole Normale SupÃ©rieure,France,66.8,44.9,48.2,95.7,30.7,68.6,"2,400",7.9,20%,46:54:00,2011,Europe
43,43,Australian National University,Australia,51.9,93.9,62.4,81,-,67,"14,604",19.2,35%,52:48:00,2011,Oceania
43,44,Karolinska Institute,Sweden,65.8,-,72.7,62.3,73.3,67,"7,774",11.5,22%,70:30:00,2011,Europe
43,45,University of GÃ¶ttingen,Germany,57.3,44.5,55.9,92.5,31.7,67,"25,581",25.6,12%,51:49:00,2011,Europe
43,46,University of Wisconsin,United States of America,55.5,43.7,64.6,83.4,-,67,,,,,2011,North America
47,47,Rice University,United States of America,57.4,31.2,50.6,99.1,29.2,66.9,"6,333",9,26%,44:56:00,2011,North America
48,48,Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne,Switzerland,55,100,56.1,83.8,38,66.5,"9,666",10.5,54%,27 : 73,2011,Europe
49,49,"University of California, Irvine",United States of America,49.4,66.3,54.7,91.6,-,66,"26,614",16.1,16%,52:48:00,2011,North America
49,50,University of Science and Technology of China,China,57.5,-,48.6,92.7,30.3,66,"14,290",7.9,2%,,2011,Asia
51,51,Vanderbilt University,United States of America,64.9,22.1,59.5,78.1,84.2,65.9,"12,161",3.6,10%,52:48:00,2011,North America
52,52,University of Minnesota,United States of America,57.6,23,69.1,76.4,-,65.6,"46,825",18,13%,52:48:00,2011,North America
53,53,Tufts University,United States of America,64.1,28.3,52.3,83.9,-,65.2,"10,410",10,14%,54:46:00,2011,North America
54,54,"University of California, Davis",United States of America,57.3,60.5,70.7,68.8,48,65,"35,364",13.9,13%,54:46:00,2011,North America
55,55,Brown University,United States of America,59.7,60.5,57,77.7,-,64.9,"8,653",10.1,19%,,2011,North America
56,56,University of Massachusetts,United States of America,61.3,22.6,72.6,67.9,53.9,64.7,"56,959",13,11%,49:51:00,2011,North America
57,57,Kyoto University,Japan,78.9,18.4,77.7,46.3,67.1,64.6,"22,809",5.6,7%,,2011,Asia
58,58,Tsinghua University,China,74.9,43,66.6,52.7,97.8,64.2,"39,763",13.7,10%,32 : 68,2011,Asia
59,59,Boston University,United States of America,53.6,38.1,51.9,91.4,29.6,64,"24,789",8.6,17%,58:42:00,2011,North America
60,60,New York University,United States of America,62,31.8,50.7,82.9,-,63.9,"42,056",6.8,19%,55:45:00,2011,North America
61,61,Emory University,United States of America,63.4,52.3,48.4,77.8,-,63,"12,338",4.5,18%,56:44:00,2011,North America
61,62,LMU Munich,Germany,59.1,43.1,57.5,76.4,40.4,63,"35,691",15.5,13%,62:38:00,2011,Europe
63,63,University of Notre Dame,United States of America,56.4,35.6,45.1,89.1,-,62.8,"11,829",13.8,10%,44:56:00,2011,North America
64,64,University of Pittsburgh,United States of America,58.5,25.2,58.3,78.3,37.9,62.7,"26,485",5.8,10%,51:49:00,2011,North America
65,65,Case Western Reserve University,United States of America,67.2,56.5,53.8,66,-,62.2,"9,259",6.4,17%,48:52:00,2011,North America
66,66,Ohio State University,United States of America,63.5,64,54.9,67.2,-,62.1,"51,462",13.4,12%,49:51:00,2011,North America
67,67,University of Colorado Boulder,United States of America,46.4,31.7,58.1,83.4,-,61.6,"29,325",16.1,8%,45:55:00,2011,North America
68,68,University of Bristol,United Kingdom,49.6,67.2,53.1,80.9,36.2,61.4,"17,906",14,25%,53:47:00,2011,Europe
68,69,"University of California, Santa Cruz",United States of America,38.3,16.7,50.4,99.6,-,61.4,"17,404",22.7,1%,53:47:00,2011,North America
68,70,Yeshiva University,United States of America,63.5,53.3,46.7,74.4,-,61.4,"6,753",5.5,7%,53:47:00,2011,North America
71,71,University of Sydney,Australia,49.8,89.6,61.9,64.3,90.8,61.2,"41,868",20.2,28%,57:43:00,2011,Oceania
72,72,University of Virginia,United States of America,62,42.2,55.4,68.6,-,61.1,"23,845",10.2,12%,52:48:00,2011,North America
73,73,University of Adelaide,Australia,46.5,87.5,38.8,90.5,52.7,60.7,"20,771",30.1,26%,48:52:00,2011,Oceania
73,74,University of Southern California,United States of America,65.4,31.2,48.7,71.9,-,60.7,"36,534",12.9,20%,52:48:00,2011,North America
75,75,William & Mary,United States of America,53.1,20.9,36.1,95.6,-,60.4,"7,867",11.8,7%,54:46:00,2011,North America
76,76,Trinity College Dublin,Republic of Ireland,47.7,84.2,45.3,84.4,31.6,60.3,"15,521",18,25%,57:43:00,2011,Europe
77,77,Kingâ€™s College London,United Kingdom,48.5,85.9,54.5,72.1,44.1,59.7,"21,394",11.4,37%,61:39:00,2011,Europe
78,78,Stony Brook University,United States of America,48.5,52.2,43.6,85.8,-,59.6,"21,908",10.9,24%,50:50:00,2011,North America
79,79,Korea Advanced Institute of Science and Technology (KAIST),South Korea,71.3,36.7,63.4,45.5,100,59.5,"9,027",10,9%,0.888888889,2011,Asia
79,80,University of Sussex,United Kingdom,42.4,72.8,42.4,91.6,29.1,59.5,"12,001",17.4,35%,54:46:00,2011,Europe
81,81,The University of Queensland,Australia,51.8,74.2,53.4,69,57.1,59.1,"34,718",32.7,27%,53:47:00,2011,Oceania
81,82,University of York,United Kingdom,47.9,66.6,46.2,81.9,36.2,59.1,,,,,2011,Europe
83,83,Heidelberg University,Germany,59.2,63.4,47.5,70.3,39.1,59,"28,881",24.5,17%,55:45:00,2011,Europe
83,84,University of Utah,United States of America,55.8,22.5,54.2,72,-,59,"25,674",16.9,9%,45:55:00,2011,North America
85,85,Durham University,United Kingdom,39.8,65.7,44.1,91,33.9,58.9,"15,489",15.7,24%,54:46:00,2011,Europe
86,86,London School of Economics and Political Science,United Kingdom,62.4,99.5,56.2,51.6,38.4,58.3,,,,,2011,Europe
87,87,University of Manchester,United Kingdom,56.5,79.1,56.2,59.2,39,58,"34,938",15.3,34%,52:48:00,2011,Europe
88,88,"Royal Holloway, University of London",United Kingdom,37.7,92.9,36.2,93.2,30.5,57.9,"8,747",15.9,37%,57:43:00,2011,Europe
89,89,Lund University,Sweden,46.3,56.8,60.8,67.6,33.2,57.8,"28,251",11.5,15%,,2011,Europe
90,90,University of Southampton,United Kingdom,50.8,69,47.8,72.9,37.7,57.7,"20,925",13.5,29%,53:47:00,2011,Europe
90,91,University of Zurich,Switzerland,56.6,87.9,47,65,43.8,57.7,"26,583",6.5,19%,57:43:00,2011,Europe
90,92,Wake Forest University,United States of America,54.6,24.4,42.9,79.2,-,57.7,"7,326",4.6,5%,51:49:00,2011,North America
93,93,McMaster University,Canada,44.7,-,58.7,68.5,-,57.6,"23,823",19.3,15%,53:47:00,2011,North America
94,94,University College Dublin,Republic of Ireland,42.4,87,36.6,86.3,-,57.5,"22,193",24.5,23%,,2011,Europe
95,95,George Washington University,United States of America,60.6,39.6,43.1,70.2,-,57.3,"20,541",12,16%,56:44:00,2011,North America
95,96,University of Arizona,United States of America,52.4,21.9,52.2,70.1,84.2,57.3,"36,429",12.7,8%,52:48:00,2011,North America
95,97,University of Basel,Switzerland,50.2,91.3,37.1,78.3,45.8,57.3,"12,551",17.3,24%,54:46:00,2011,Europe
98,98,"University of Maryland, College Park",United States of America,45.4,35.4,48.6,79.2,-,57.2,"31,331",8.4,9%,48:52:00,2011,North America
99,99,Dartmouth College,United States of America,44.7,31,49.2,79.7,-,57.1,"6,178",6.6,16%,47:53:00,2011,North America
100,100,Ã‰cole Normale SupÃ©rieure de Lyon,France,51.1,37.6,34.4,88.8,26.1,57,"2,218",8,14%,49:51:00,2011,Europe
101,101,Technical University of Munich,Germany,50.4,85.3,43.2,71.2,-,56.9,"35,565",31.5,20%,33 : 67,2011,Europe
102,102,University of Helsinki,Finland,49,24.2,51.4,75.4,30.2,56.6,"23,505",15.1,6%,66:34:00,2011,Europe
103,103,University of St Andrews,United Kingdom,44.8,85.7,47.7,72.9,32.6,56.5,"8,338",12.7,47%,56:44:00,2011,Europe
104,104,Rensselaer Polytechnic Institute,United States of America,50.5,48,54.6,64.9,-,56.4,"6,671",15,16%,30 : 70,2011,North America
105,105,"Rutgers, the State University of New Jersey",United States of America,53.4,26.8,64.7,55.7,-,56.3,"37,032",17.3,8%,51:49:00,2011,North America
106,106,Purdue University,United States of America,57,62.6,67.8,43.9,-,56.2,"39,256",18.1,22%,42:58:00,2011,North America
107,107,National Tsing Hua University,Taiwan,52.2,34.1,52.6,66.9,50.2,56.1,"10,221",13.5,5%,33 : 67,2011,Asia
107,108,University of Cape Town,South Africa,36.6,83.3,42.1,82.8,-,56.1,"20,040",12.1,18%,53:47:00,2011,Africa
109,109,Pennsylvania State University,United States of America,46.3,19.9,49.2,77.6,44,56,"44,501",12.4,12%,46:54:00,2011,North America
109,110,Seoul National University,South Korea,62.3,44.9,54.1,54.6,43,56,"26,389",13.9,10%,,2011,Asia
111,111,Hong Kong Baptist University,Hong Kong,32.9,71.8,32.5,97.6,26.7,55.6,"10,441",11,25%,61:39:00,2011,Asia
112,112,Bilkent University,Turkey,34.3,47.7,36.1,95.7,32.4,55.4,,,,,2011,Europe
112,113,Tokyo Institute of Technology,Japan,62.9,24.8,63.4,45.5,60.5,55.4,"9,586",7.3,13%,0.602083333,2011,Asia
114,114,Eindhoven University of Technology,Netherlands,55.4,44.9,51.7,56.9,99.8,55.3,"8,176",16,14%,0.847916667,2011,Europe
115,115,National Taiwan University,Taiwan,50.3,29.2,59,61.6,35.7,55.2,"31,891",11.9,7%,39 : 61,2011,Asia
115,116,University of Hawaiâ€™i at MÄnoa,United States of America,38.3,34.2,47.6,81,-,55.2,,,,,2011,North America
117,117,"University of California, Riverside",United States of America,38.6,63,47.4,78.3,30.5,55.1,"20,626",22,12%,51:49:00,2011,North America
118,118,University of Geneva,Switzerland,46.6,95.7,49.7,63.1,32.7,55,"15,668",15,39%,61:39:00,2011,Europe
119,119,KU Leuven,Belgium,57.7,29.6,62.9,45.2,97.7,54.8,"42,503",41.9,18%,54:46:00,2011,Europe
120,120,Nanjing University,China,52.2,50.2,46.2,66,43.4,54.6,"29,743",13.3,10%,46:54:00,2011,Asia
120,121,Queen Mary University of London,United Kingdom,39.7,91,44.1,73.5,38.9,54.6,"14,260",14,40%,52:48:00,2011,Europe
122,122,Michigan State University,United States of America,50.4,30.4,52.7,63.7,-,54.5,"44,750",15.7,15%,51:49:00,2011,North America
122,123,Technical University of Denmark,Denmark,46.2,64,46.9,64.6,95.5,54.5,"9,990",5,18%,27 : 73,2011,Europe
124,124,Ghent University,Belgium,52.8,24.7,59.1,52.8,97.1,54.4,"32,166",34.1,9%,57:43:00,2011,Europe
124,125,Lancaster University,United Kingdom,43.5,73.8,41.9,74.9,28.8,54.4,"11,512",14.9,33%,52:48:00,2011,Europe
124,126,Leiden University,Netherlands,47.3,40,54.9,59.3,100,54.4,"21,222",17.1,10%,59:41:00,2011,Europe
127,127,University of Alberta,Canada,53.7,71.6,58,49.7,44.5,54.3,"36,299",21.6,23%,55:45:00,2011,North America
128,128,University of Glasgow,United Kingdom,45.6,55.1,50.3,65.1,61,54.2,"22,616",16,29%,57:43:00,2011,Europe
129,129,Stockholm University,Sweden,36.9,-,49.2,75.9,31.7,54,"31,715",23.7,8%,62:38:00,2011,Europe
130,130,Osaka University,Japan,61.7,20.1,63.4,40,73.4,53.4,"23,144",7.8,9%,31 : 69,2011,Asia
130,131,University of Victoria,Canada,32.9,-,48.3,79.1,27.4,53.4,"17,581",21.5,11%,56:44:00,2011,North America
132,132,Tohoku University,Japan,60.3,20.1,62.5,41.2,82.3,53.3,"17,200",5,7%,25 : 75,2011,Asia
132,133,University of Freiburg,Germany,52.4,46.2,41.4,64.3,79.8,53.3,"26,467",31.2,16%,52:48:00,2011,Europe
132,134,University of Iowa,United States of America,48.6,31.7,59.8,54.8,-,53.3,"27,526",11.6,11%,52:48:00,2011,North America
135,135,University of Bergen,Norway,39.9,66.6,42.1,73.1,41.5,52.7,"11,623",11.1,12%,60:40:00,2011,Europe
136,136,University of Lausanne,Switzerland,43.1,84.1,50.5,59.1,42.5,52.6,"11,964",13.1,22%,,2011,Europe
137,137,University of Sheffield,United Kingdom,48.9,62.7,49.2,58.4,40.3,52.5,"23,311",15.5,31%,50:50:00,2011,Europe
138,138,University of Montreal,Canada,56.1,-,49.4,51.9,-,52.4,"38,264",20.3,25%,57:43:00,2011,North America
139,139,VU University Amsterdam,Netherlands,47.6,30.6,51.6,58.5,81.4,52.3,"23,280",16.3,6%,56:44:00,2011,Europe
140,140,Pierre and Marie Curie University,France,51.9,30.7,37.2,71.5,26.4,52.2,"27,862",8.7,18%,48:52:00,2011,Europe
140,141,University of Dundee,United Kingdom,34.1,54.4,41,79.3,49.3,52.2,"11,628",15.3,25%,60:40:00,2011,Europe
142,142,University of Barcelona,Spain,34.1,22.3,33.7,91.9,30,52.1,"47,491",12.2,10%,62:38:00,2011,Europe
143,143,Utrecht University,Netherlands,43.4,52.6,53,58.8,55.3,52,"30,779",15.4,7%,59:41:00,2011,Europe
144,144,Wageningen University and Research Center,Netherlands,58.5,24.3,48.8,53,-,51.9,"9,248",17,21%,56:44:00,2011,Europe
145,145,University of Auckland,New Zealand,34.8,94.3,39.2,71.8,61.1,51.8,"29,787",18.9,28%,54:46:00,2011,Oceania
145,146,University of Birmingham,United Kingdom,50.3,73.8,50.7,52.1,34.8,51.8,"25,295",16.4,23%,54:46:00,2011,Europe
147,147,Alexandria University,Egypt,29.5,19.3,28,99.8,36,51.6,"127,431",23.3,1%,46:54:00,2011,Africa
147,148,Uppsala University,Sweden,49.6,77.9,62.2,40.7,39.5,51.6,"25,266",18.2,12%,57:43:00,2011,Europe
149,149,Hong Kong Polytechnic University,Hong Kong,39.4,82.9,45.7,62.4,57.2,51.4,"22,064",25.9,26%,51:49:00,2011,Asia
149,150,University of Aberdeen,United Kingdom,37.8,86.1,45.2,64.6,47,51.4,"12,938",15.8,33%,54:46:00,2011,Europe
151,151,Delft University of Technology,Netherlands,55.5,47.4,67.7,29,99.4,51.3,"15,920",19.4,25%,26 : 74,2011,Europe
152,152,"Birkbeck, University of London",United Kingdom,41.2,88.5,35.8,70.6,27.4,51.2,"9,454",17.2,38%,55:45:00,2011,Europe
152,153,Newcastle University,United Kingdom,42.7,80.5,42.8,63.6,31.1,51.2,"20,174",15.2,29%,50:50:00,2011,Europe
152,154,University of New South Wales,Australia,49.5,70.7,48.9,51.2,60,51.2,"38,309",25.9,33%,47:53:00,2011,Oceania
155,155,Pompeu Fabra University,Spain,35,44.1,33,84.7,40,51.1,"10,901",18.3,13%,59:41:00,2011,Europe
156,156,Indiana University,United States of America,48.5,37.7,42.5,63.2,-,51,"62,468",13.6,13%,53:47:00,2011,North America
156,157,Iowa State University,United States of America,49.3,23.2,49.6,58.2,49.6,51,"29,991",17.4,11%,44:56:00,2011,North America
158,158,Georgia Health Sciences University,United States of America,67.3,16.3,41.7,48.9,50.1,50.7,,,,,2011,North America
159,159,Erasmus University Rotterdam,Netherlands,39.4,58.6,43.6,65.5,-,50.4,"20,580",18.9,18%,48:52:00,2011,Europe
159,160,University of Delaware,United States of America,38.4,16.8,51.9,61.3,100,50.4,"19,262",15.9,10%,56:44:00,2011,North America
161,161,Arizona State University,United States of America,43,24.1,44.1,66.9,-,50.3,"83,236",29.9,9%,50:50:00,2011,North America
161,162,Boston College,United States of America,40.1,31.6,33.6,78,-,50.3,"13,216",17.4,19%,54:46:00,2011,North America
163,163,National Sun Yat-Sen University,Taiwan,46.1,21.3,50.6,58.9,37.5,50.2,"9,336",19.6,4%,37 : 63,2011,Asia
164,164,Georgetown University,United States of America,65.1,24.7,44.7,45,-,50.1,"15,408",8.5,14%,53:47:00,2011,North America
165,165,University of Amsterdam,Netherlands,42.5,38.2,49.2,60.2,38.8,50,"24,570",14.4,11%,53:47:00,2011,Europe
165,166,University of Liverpool,United Kingdom,40.8,59.8,47.8,59.6,40.6,50,"18,815",13.6,30%,52:48:00,2011,Europe
167,167,Aarhus University,Denmark,38.1,33.4,55.6,57.3,61.5,49.9,"23,895",13.6,14%,54:46:00,2011,Europe
168,168,University of Leeds,United Kingdom,46.2,50,48,55.6,38.3,49.8,"27,703",14.7,21%,58:42:00,2011,Europe
168,169,University of WÃ¼rzburg,Germany,48.7,40.3,40.9,60.4,-,49.8,"26,576",38.4,8%,57:43:00,2011,Europe
170,170,University of Groningen,Netherlands,41.7,35.5,56.4,54.1,34.2,49.7,"24,556",25.6,12%,52:48:00,2011,Europe
171,171,Sun Yat-sen University,China,46.2,29.3,34.7,70.2,41.2,49.6,"51,351",16.6,8%,51:49:00,2011,Asia
172,172,Goethe University Frankfurt,Germany,39.2,56.1,37.3,69.5,41.6,49.4,"31,861",9.3,15%,60:40:00,2011,Europe
173,173,Bielefeld University,Germany,39.9,-,35.7,70.4,-,49.3,"21,428",67.8,8%,57:43:00,2011,Europe
174,174,Nanyang Technological University,Singapore,43.6,96.3,51.7,45,40,49,"25,028",16.2,33%,48:52:00,2011,Asia
174,175,University of East Anglia,United Kingdom,42.1,62.8,40.4,62.8,29.7,49,"14,992",14.7,28%,58:42:00,2011,Europe
174,176,University of Nottingham,United Kingdom,46.8,74.8,44.1,52.5,38.4,49,"30,144",15,27%,54:46:00,2011,Europe
177,177,University of Copenhagen,Denmark,44.1,45.8,45.7,58.3,26.1,48.8,"27,545",4.1,19%,67:33:00,2011,Europe
178,178,Humboldt University of Berlin,Germany,50.9,46.1,44.5,52,27.8,48.5,"29,987",52.5,16%,,2011,Europe
178,179,Monash University,Australia,39.4,87.1,38.8,60.5,40.8,48.5,"50,882",40.5,36%,56:44:00,2011,Oceania
178,180,University of Bonn,Germany,46.8,46.8,33.8,65.3,29.4,48.5,"32,474",70.4,13%,55:45:00,2011,Europe
181,181,National Chiao Tung University,Taiwan,53.2,57.9,54.4,32.9,98.7,48.3,"12,646",16.6,5%,27 : 73,2011,Asia
182,182,RWTH Aachen University,Germany,50,63.8,42.5,48.9,56.6,48.2,"37,917",27.6,16%,31 : 69,2011,Europe
183,183,Middle East Technical University,Turkey,39.5,27.2,39.5,66.4,43.9,47.7,"25,779",22.2,7%,44:56:00,2011,Europe
184,184,University of Exeter,United Kingdom,40.4,62.8,42.5,57.9,32.2,47.6,"17,755",18.8,28%,54:46:00,2011,Europe
185,185,University of Twente,Netherlands,49.9,62.4,48.3,42,49.8,47.5,"6,631",12,26%,37 : 63,2011,Europe
186,186,University of Konstanz,Germany,42.7,93.6,40.1,51.3,-,47.3,"10,930",59.1,12%,54:46:00,2011,Europe
187,187,Karlsruhe Institute of Technology,Germany,45,47.3,35.4,60.7,40,47.2,"25,294",24.6,16%,26 : 74,2011,Europe
187,188,University of Innsbruck,Austria,37.9,99.5,34.8,60.2,35,47.2,"18,209",16.9,39%,54:46:00,2011,Europe
189,189,University of TÃ¼bingen,Germany,45.9,57.8,36.3,57.3,32.3,47,"28,327",38.9,12%,58:42:00,2011,Europe
190,190,Drexel University,United States of America,45,60.6,35.9,58.2,27.4,46.9,"20,713",10.8,18%,48:52:00,2011,North America
190,191,University of Cincinnati,United States of America,43.6,18.9,40.4,61.5,32.5,46.9,"36,108",15.7,6%,54:46:00,2011,North America
190,192,Yonsei University,South Korea,43,28,48.7,52.2,40.4,46.9,"24,774",11.6,14%,,2011,Asia
193,193,Dalhousie University,Canada,41.6,44.9,50.2,48.8,-,46.8,"15,064",14.4,18%,55:45:00,2011,North America
193,194,KTH Royal Institute of Technology,Sweden,49.1,64.2,56.2,29.2,100,46.8,"12,062",14.6,21%,30 : 70,2011,Europe
195,195,University of Vienna,Austria,47.6,63.2,45.7,45.6,27,46.7,"34,651",20.5,25%,67:33:00,2011,Europe
196,196,Kent State University,United States of America,33.5,15.9,33.3,76.8,26.3,46.5,"23,122",19,8%,58:42:00,2011,North America
197,197,University of Illinois at Chicago,United States of America,57.8,51.8,46.8,34.7,-,46.4,"24,313",9.2,17%,53:47:00,2011,North America
197,198,Zhejiang University,China,54.6,29.6,41.3,44.3,70.3,46.4,"47,508",15.9,5%,41:59:00,2011,Asia
199,199,Simon Fraser University,Canada,32.9,51.9,44.2,60.2,37.9,46.2,"26,640",28.3,19%,55:45:00,2011,North America
199,200,Swedish University of Agricultural Sciences,Sweden,43.3,-,49.5,41.7,99.9,46.2,"3,879",4.6,,67:33:00,2011,Europe
1,1,California Institute of Technology,United States of America,95.7,56,98.2,99.9,97,94.8,"2,243",6.9,27%,33 : 67,2012,North America
2,2,Harvard University,United States of America,95.8,67.5,97.4,99.8,35.9,93.9,"20,152",8.9,25%,,2012,North America
2,3,Stanford University,United States of America,94.8,57.2,98.9,99.8,63.8,93.9,"15,596",7.8,22%,42:58:00,2012,North America
4,4,University of Oxford,United Kingdom,89.5,91.9,96.6,97.9,62.1,93.6,"19,919",11.6,34%,46:54:00,2012,Europe
5,5,Princeton University,United States of America,91.5,49.6,99.1,100,81,92.9,"7,929",8.4,27%,45:55:00,2012,North America
6,6,University of Cambridge,United Kingdom,90.5,85.3,94.2,97.3,55.5,92.4,"18,812",11.8,34%,46:54:00,2012,Europe
7,7,Massachusetts Institute of Technology,United States of America,92.7,79.2,87.4,100,94.4,92.3,"11,074",9,33%,37 : 63,2012,North America
8,8,Imperial College London,United Kingdom,88.8,92.2,88.7,93.9,93.1,90.7,"15,060",11.7,51%,37 : 63,2012,Europe
9,9,University of Chicago,United States of America,89.4,58.8,90.8,99.4,-,90.2,"14,221",6.9,21%,42:58:00,2012,North America
10,10,"University of California, Berkeley",United States of America,82.8,50.4,99.4,99.4,62.5,89.8,"36,186",16.4,15%,50:50:00,2012,North America
11,11,Yale University,United States of America,92.3,55.5,91.2,96.7,34.7,89.1,"11,751",4.4,20%,50:50:00,2012,North America
12,12,Columbia University,United States of America,89.1,67.6,81.8,97.8,-,87.5,"25,055",5.9,28%,,2012,North America
13,13,"University of California, Los Angeles",United States of America,85.9,41,92.5,97.3,-,87.3,"38,206",10.3,15%,52:48:00,2012,North America
14,14,Johns Hopkins University,United States of America,78.9,59.9,86.5,97.3,100,85.8,"15,128",3.6,23%,50:50:00,2012,North America
15,15,ETH Zurich â€“ Swiss Federal Institute of Technology Zurich,Switzerland,79.1,97.5,85.8,87.2,-,85,"18,178",14.7,37%,31 : 69,2012,Europe
16,16,University of Pennsylvania,United States of America,87,34.3,86.1,97.9,41.9,84.9,"20,376",6.5,20%,51:49:00,2012,North America
